trip_id,vessel_id,flag,gear_code,set_date,trip_days,latitude,longitude,effort_unit,effort_amount,target_species,catch_skj_kg,catch_yft_kg,catch_bet_kg,catch_alb_kg,catch_total_kg
T2024-001,WCPFC-1001,PNG,LL,2024-03-19,14,-9.196,142.872,HOOKS,1500,YFT,6069,1720,177,115,8081
T2024-002,WCPFC-1006,SLB,LL,2024-08-23,7,4.966,142.731,HOOKS,2612,BET,4767,840,313,174,6094
T2024-003,WCPFC-1027,KIR,PS,2024-04-17,24,4.936,169.86,SETS,2,ALB,12029,3109,1160,245,16543
T2024-004,WCPFC-1030,NRU,LL,2024-07-26,13,-16.852,157.338,HOOKS,3027,ALB,4262,2516,385,294,7457
T2024-005,WCPFC-1003,FJI,PL,2024-10-08,30,-1.245,-166.881,DAYS,5,BET,4864,977,169,103,6113
T2024-006,,FSM,PL,2024-06-09,32,-9.146,-161.174,DAYS,3,YFT,3056,640,258,29,3983
T2024-007,WCPFC-1031,PNG,PS,2024-06-18,22,-13.454,-167.221,SETS,1,ALB,4092,2044,407,449,6992
T2024-008,WCPFC-11774,FSM,LL,2024-07-21,30,-15.603,158.964,HOOKS,2875,YFT,4854,926,669,102,6551
T2024-009,WCPFC-1023,SLB,LL,2024-03-26,21,-16.74,-165.048,HOOKS,1217,ALB,1650,391,228,154,2423
T2024-010,WCPFC-1013,MHL,PL,2024-08-13,19,-12.981,-178.576,DAYS,1,SKJ,966,330,41,76,1413
T2024-011,WCPFC-9999,KIR,LL,2024-11-07,31,2.765,162.481,HOOKS,1820,SKJ,3565,696,227,10,4498
T2024-012,WCPFC-1030,NRU,LL,2024-11-10,29,10.906,-172.852,HOOKS,2901,SKJ,5551,2287,257,421,8516
T2024-013,WCPFC-1034,TUV,PS,2024-08-26,9,-11.438,157.344,SETS,3,SKJ,15069,3505,1017,595,20186
T2024-014,WCPFC-1034,TUV,PS,2024-11-04,9,0.764,-152.492,SETS,1,SKJ,4627,2094,187,197,7105
T2024-015,WCPFC-1038,FSM,PS,2024-03-19,16,10.459,-165.941,SETS,1,SKJ,3693,2362,330,164,6549
T2024-016,WCPFC-1030,NRU,XX,2024-09-23,27,-15.266,174.892,HOOKS,1651,ALB,2539,1240,379,146,4304
T2024-017,WCPFC-1034,TUV,PS,2024-03-27,15,-7.634,138.297,SETS,1,ALB,4838,1749,564,14,7165
T2024-018,WCPFC-1010,MHL,PS,2024-04-22,9,-13.165,-150.24,SETS,3,YFT,16410,4189,1965,1588,24152
T2024-019,WCPFC-1003,FJI,PL,2024-12-04,6,8.917,-177.044,DAYS,1,SKJ,888,263,58,33,1242
T2024-020,WCPFC-11774,FSM,LL,2024-03-08,13,-5.612,167.883,HOOKS,2424,SKJ,3171,924,393,276,4764
T2024-021,WCPFC-1035,FSM,LL,2024-08-18,12,95.0,139.865,HOOKS,2574,SKJ,4619,845,331,295,6090
T2024-022,WCPFC-1018,KIR,PS,2024-02-26,7,10.738,-152.48,SETS,1,BET,5523,1170,588,247,7528
T2024-023,WCPFC-1003,FJI,PL,2024-02-05,31,-0.735,157.331,DAYS,1,SKJ,894,297,44,8,1243
T2024-024,WCPFC-1035,FSM,LL,2024-05-19,29,4.962,141.695,HOOKS,2224,BET,3231,1210,274,157,4872
T2024-025,WCPFC-1026,MHL,PL,2024-06-26,34,0.024,-161.252,DAYS,5,BET,3013,934,397,31,4375
T2024-026,WCPFC-1013,MHL,PL,31/02/2024,23,3.329,-161.968,DAYS,1,SKJ,610,297,115,48,1070
T2024-027,WCPFC-1012,FJI,PS,2024-03-18,13,5.055,156.652,SETS,2,BET,11113,3520,667,174,15474
T2024-028,WCPFC-1008,FJI,PS,2024-03-24,5,0.498,-150.417,SETS,1,YFT,5552,1977,598,0,8127
T2024-029,WCPFC-1035,FSM,LL,2024-10-08,8,-11.374,179.281,HOOKS,2573,ALB,4414,1948,392,393,7147
T2024-030,WCPFC-1032,FJI,PL,2024-06-21,18,-12.958,-163.303,DAYS,4,BET,2837,1326,370,24,4557
T2024-031,WCPFC-11774,FSM,LL,2024-04-15,400,-1.945,156.051,HOOKS,3070,SKJ,5960,2211,368,64,8603
T2024-032,WCPFC-1037,KIR,PS,2024-12-06,-3,-17.702,-153.439,SETS,2,YFT,11755,3037,520,147,15459
T2024-033,WCPFC-1006,SLB,LL,2024-10-14,11,3.105,179.863,HOOKS,2202,SKJ,3668,1856,472,217,6213
T2024-034,WCPFC-1023,SLB,LL,2024-03-07,5,-2.408,142.687,HOOKS,1815,ALB,2227,1058,215,73,3573
T2024-035,WCPFC-1002,FSM,PL,2024-10-06,16,-6.916,163.92,DAYS,5,SKJ,3095,2127,360,258,5840
T2024-036,WCPFC-1018,KIR,PS,2024-04-24,12,-25.0,134.0,SETS,3,SKJ,14319,7682,1279,466,23746
T2024-037,WCPFC-1015,SLB,LL,2024-05-06,17,-1.557,147.105,HOOKS,1411,BET,2094,625,245,59,3023
T2024-038,WCPFC-1025,KIR,PL,2024-01-03,10,11.872,167.224,DAYS,5,ALB,5040,2217,365,164,7786
T2024-039,WCPFC-1030,NRU,LL,2024-01-01,23,-18.687,169.46,HOOKS,1226,BET,1736,863,226,44,2869
T2024-040,WCPFC-1016,PNG,PS,2024-12-18,31,-18.513,176.639,SETS,2,YFT,12559,3994,423,1057,18033
T2024-041,WCPFC-1032,FJI,LL,2024-05-12,29,-0.965,137.961,HOOKS,5,SKJ,90000,185,106,50,1135
T2024-042,WCPFC-1033,SLB,PS,2024-04-12,5,10.205,-167.238,SETS,2,YFT,9312,5188,1201,335,16036
T2024-043,WCPFC-1018,KIR,PS,2024-03-25,29,11.4,152.538,SETS,2,YFT,7970,2653,1038,908,12569
T2024-044,WCPFC-1010,MHL,PS,2024-04-12,30,11.484,165.108,SETS,1,SKJ,4069,2314,512,343,7238
T2024-045,WCPFC-1040,SLB,LL,2024-02-11,30,11.437,140.126,HOOKS,2600,BET,3921,1705,337,195,6158
T2024-046,WCPFC-1022,KIR,LL,2024-09-20,11,-18.081,173.845,HOOKS,9000,ALB,3941,1490,652,325,6408
T2024-047,WCPFC-1008,FJI,PS,2024-12-20,25,2.769,165.246,SETS,2,YFT,11844,3587,1271,557,17259
T2024-048,WCPFC-1029,FJI,LL,2024-04-19,12,-12.21,154.409,HOOKS,2083,YFT,3580,1176,324,222,5302
T2024-049,WCPFC-1010,MHL,PS,2024-12-27,31,3.377,-177.222,SETS,3,YFT,12275,6641,762,194,19872
T2024-050,WCPFC-1009,TUV,PS,2024-07-14,9,11.558,-179.217,SETS,3,SKJ,15327,6190,1458,344,23319
T2024-051,WCPFC-1005,FJI,PS,2024-09-07,9,-12.778,-154.89,SETS,2,BET,9496,4698000,840,931,16373
T2024-052,WCPFC-1012,FJI,PS,2024-02-04,17,-0.884,-178.81,SETS,3,YFT,16383,5584,2018,1164,25149
T2024-053,WCPFC-1003,FJI,PL,2024-04-28,6,-13.817,165.861,DAYS,4,BET,3922,1546,319,27,5814
T2024-054,WCPFC-1038,FSM,PS,2024-05-14,25,-17.83,178.346,SETS,3,SKJ,12440,5509,1529,1311,20789
T2024-055,WCPFC-1032,FJI,PL,2024-11-24,13,-19.975,-168.537,DAYS,1,BET,717,364,39,4,1124
T2024-056,WCPFC-1018,KIR,PS,2024-08-11,30,-3.961,136.744,SETS,3,SKJ,17944,5712,1428,1111,261950
T2024-057,WCPFC-1034,TUV,PS,2024-05-21,32,-18.154,167.226,SETS,3,ALB,12589,7882,1824,479,22774
T2024-058,WCPFC-1034,TUV,PS,2024-02-22,14,-17.265,-170.481,SETS,1,ALB,5779,1853,391,353,8376
T2024-059,WCPFC-1030,NRU,LL,2024-10-05,16,-13.228,-164.219,HOOKS,1963,SKJ,2669,978,290,286,4223
T2024-060,WCPFC-1009,TUV,PS,2024-02-18,23,2.101,179.045,SETS,1,SKJ,5105,1117,216,214,6652
T2024-061,WCPFC-1006,SLB,LL,2024-11-25,15,-10.729,148.529,HOOKS,1442,ALB,1991,712,274,80,3057
T2024-062,WCPFC-1002,FSM,PL,2024-02-19,15,-12.776,162.462,DAYS,3,ALB,2252,853,178,133,3416
T2024-063,WCPFC-1009,TUV,PS,2024-11-10,6,-0.688,143.328,SETS,3,SKJ,17203,6687,1939,423,26252
T2024-064,WCPFC-1020,MHL,LL,2024-07-18,30,-17.363,-170.323,HOOKS,1433,SKJ,2504,930,260,236,3930
T2024-065,WCPFC-1006,SLB,LL,2024-05-25,19,-13.999,-171.903,HOOKS,2882,YFT,3891,1375,267,346,5879
T2024-066,WCPFC-1034,TUV,PS,2024-11-22,28,5.132,-162.817,SETS,2,SKJ,12496,3898,362,437,17193
T2024-067,WCPFC-1035,FSM,LL,2024-03-17,33,10.022,-167.003,HOOKS,2719,SKJ,3990,1990,392,71,6443
T2024-068,WCPFC-1022,KIR,PS,2024-06-24,8,-7.805,135.644,SETS,1,ALB,5150,1014,317,520,7001
T2024-069,WCPFC-1014,MHL,PL,2024-03-08,28,9.381,154.51,DAYS,3,YFT,2707,602,217,197,3723
T2024-070,WCPFC-1006,SLB,LL,2024-01-04,19,-19.77,-161.668,HOOKS,1255,ALB,1868,790,192,95,2945
T2024-071,WCPFC-1019,FSM,LL,2024-03-23,9,-8.387,164.976,HOOKS,1899,SKJ,2311,660,386,192,3549
T2024-072,WCPFC-1031,PNG,PS,2024-04-11,26,-14.712,-152.363,SETS,3,BET,18449,3041,1253,420,23163
T2024-073,WCPFC-1006,SLB,LL,2024-08-03,34,-6.384,163.035,HOOKS,2842,SKJ,3934,1785,459,409,6587
T2024-074,WCPFC-1007,FSM,LL,2024-03-03,15,-4.477,-170.461,HOOKS,2431,BET,4435,1990,274,357,7056
T2024-075,WCPFC-1032,FJI,PL,2024-02-20,5,11.47,155.906,DAYS,2,BET,1843,678,106,20,2647
T2024-076,WCPFC-1034,TUV,PS,2024-07-05,7,-8.64,-151.216,SETS,2,BET,9377,4538,1185,1027,16127
T2024-077,WCPFC-1021,NRU,PS,2024-10-14,33,0.903,140.638,SETS,2,BET,8514,4100,997,900,14511
T2024-078,WCPFC-1015,SLB,LL,2024-02-08,13,-5.292,-153.334,HOOKS,3180,SKJ,5673,1432,378,558,8041
T2024-079,WCPFC-1001,PNG,LL,2024-04-03,22,-15.505,-161.274,HOOKS,1408,SKJ,2596,1036,103,106,3841
T2024-080,WCPFC-11774,FSM,LL,2024-05-07,9,10.904,169.116,HOOKS,1436,ALB,2536,979,336,139,3990
T2024-081,WCPFC-1001,PNG,LL,2024-01-05,22,11.579,-152.813,HOOKS,3185,SKJ,5633,1075,444,30,7182
T2024-082,WCPFC-1029,FJI,LL,2024-01-03,35,4.58,-161.374,HOOKS,1714,YFT,3343,1098,223,12,4676
T2024-083,WCPFC-1020,MHL,LL,2024-10-03,21,5.912,-174.193,HOOKS,2530,BET,5156,1114,528,413,7211
T2024-084,WCPFC-1001,PNG,LL,2024-06-16,12,-14.633,-161.85,HOOKS,2512,YFT,3718,1053,199,235,5205
T2024-085,WCPFC-1024,PNG,PL,2024-11-28,17,-4.322,161.254,DAYS,4,ALB,4098,1376,237,0,5711
T2024-086,WCPFC-1001,PNG,LL,2024-07-17,9,-6.142,157.758,HOOKS,1691,BET,2545,658,116,34,3353
T2024-087,WCPFC-1001,PNG,LL,2024-11-16,26,5.27,151.959,HOOKS,2573,BET,4035,1962,341,407,6745
T2024-088,WCPFC-1017,MHL,PL,2024-04-10,18,-7.746,173.098,DAYS,2,ALB,1853,637,216,117,2823
T2024-089,WCPFC-1001,PNG,LL,2024-09-28,29,-16.537,163.749,HOOKS,2861,SKJ,4718,1156,655,18,6547
T2024-090,WCPFC-1021,NRU,PS,2024-04-08,35,9.06,-169.341,SETS,3,ALB,14932,4136,926,927,20921
T2024-091,WCPFC-1037,KIR,PS,2024-02-26,10,11.558,147.232,SETS,1,SKJ,4254,2661,598,351,7864
T2024-092,WCPFC-1004,SLB,LL,2024-04-19,8,8.196,161.556,HOOKS,2021,SKJ,3138,965,468,216,4787
T2024-093,WCPFC-1024,PNG,PL,2024-07-01,35,-3.698,150.611,DAYS,1,YFT,821,394,62,35,1312
T2024-094,WCPFC-1024,PNG,PL,2024-12-01,15,-3.745,174.81,DAYS,2,YFT,1483,858,92,132,2565
T2024-095,WCPFC-1030,NRU,LL,2024-01-25,16,9.419,-156.738,HOOKS,1981,SKJ,2404,1720,311,100,4535
T2024-096,WCPFC-1021,NRU,PS,2024-01-14,9,2.591,-171.674,SETS,1,YFT,4180,2691,437,489,7797
T2024-097,WCPFC-1038,FSM,PS,2024-07-15,8,-16.61,-151.983,SETS,2,SKJ,11659,3749,433,193,16034
T2024-098,WCPFC-1030,NRU,LL,2024-01-14,16,4.951,-157.104,HOOKS,1893,ALB,3618,1612,326,268,5824
T2024-099,WCPFC-1035,FSM,LL,2024-10-13,30,-5.171,-161.617,HOOKS,2512,YFT,3929,1643,167,134,5873
T2024-100,WCPFC-1010,MHL,PS,2024-07-14,17,-6.728,-177.238,SETS,2,YFT,10720,3748,367,262,15097
T2024-101,WCPFC-1002,FSM,PL,2024-09-09,18,2.396,177.827,DAYS,1,BET,746,306,89,25,1166
T2024-102,WCPFC-1003,FJI,PL,2024-06-09,34,8.274,-154.313,DAYS,4,SKJ,2524,1774,196,343,4837
T2024-103,WCPFC-1035,FSM,LL,2024-11-18,31,-16.913,-168.855,HOOKS,3122,SKJ,4274,2647,213,68,7202
T2024-104,WCPFC-1028,KIR,LL,2024-09-18,34,5.63,-169.17,HOOKS,2905,BET,4026,1675,289,3,5993
T2024-105,WCPFC-1036,PNG,LL,2024-08-08,24,-9.056,148.967,HOOKS,1549,BET,3187,1216,317,217,4937
T2024-106,WCPFC-1010,MHL,PS,2024-07-28,31,6.613,-160.715,SETS,3,YFT,17561,5324,1300,1032,25217
T2024-107,WCPFC-1010,MHL,PS,2024-03-19,20,-14.061,165.605,SETS,2,BET,9837,4275,449,160,14721
T2024-108,WCPFC-1029,FJI,LL,2024-05-11,16,-11.425,-150.395,HOOKS,1960,ALB,3746,928,162,89,4925
T2024-109,WCPFC-1009,TUV,PS,2024-09-11,30,9.214,174.45,SETS,3,ALB,16683,6793,951,1109,25536
T2024-110,WCPFC-1039,FSM,PL,2024-04-05,24,-18.614,153.94,DAYS,4,SKJ,2918,1368,297,215,4798
T2024-111,WCPFC-1039,FSM,PL,2024-03-02,26,11.496,177.366,DAYS,4,ALB,2864,1211,255,262,4592
T2024-112,WCPFC-1011,NRU,PS,2024-10-15,32,4.435,136.946,SETS,1,BET,5571,1721,454,340,8086
T2024-113,WCPFC-1016,PNG,PS,2024-06-28,30,-9.359,155.401,SETS,2,BET,12414,2584,1169,42,16209
T2024-114,WCPFC-1026,MHL,PL,2024-01-15,16,-3.33,-150.365,DAYS,4,BET,2531,1677,300,297,4805
T2024-115,WCPFC-1037,KIR,PS,2024-04-21,5,-8.993,-162.68,SETS,1,SKJ,4223,2548,420,356,7547
T2024-116,WCPFC-1031,PNG,PS,2024-12-01,30,-13.353,-158.399,SETS,1,YFT,5243,1763,299,391,7696
T2024-117,WCPFC-1002,FSM,PL,2024-10-17,31,4.346,171.997,DAYS,4,BET,3182,696,344,219,4441
T2024-118,WCPFC-1007,FSM,LL,2024-09-27,29,9.871,-152.57,HOOKS,1562,BET,3025,1295,189,6,4515
T2024-119,WCPFC-1019,FSM,LL,2024-09-14,10,10.832,-162.115,HOOKS,1919,YFT,2891,867,152,320,4230
T2024-120,WCPFC-1040,SLB,LL,2024-12-24,8,-7.685,135.714,HOOKS,1535,BET,2706,781,361,98,3946
T2024-061,WCPFC-1006,SLB,LL,2024-11-25,15,-10.729,148.529,HOOKS,1442,ALB,1991,712,274,80,3057
