sample_id,trip_id,species_code,length_cm,weight_kg,sex,measure_date
S0001,T2024-001,SKJ,64.5,6.6,F,2024-03-19
S0002,T2024-001,BET,87.8,20.25,M,2024-03-19
S0003,T2024-001,BET,98.8,30.63,F,2024-03-19
S0004,T2024-001,YFT,320.0,11.0,U,2024-03-19
S0005,T2024-003,YFT,152.3,79.53,U,2024-04-17
S0006,T2024-003,SKJ,72.0,8.42,F,2024-04-17
S0007,T2024-003,YFT,144.9,62.26,F,2024-04-17
S0008,T2024-003,SKJ,39.3,0.2,F,2024-04-17
S0009,T2024-003,BET,71.6,11.98,F,2024-04-17
S0010,T2024-005,SKJ,91.8,20.95,F,2024-10-08
S0011,T2024-005,ALB,105.7,23.4,U,2024-10-08
S0012,T2024-005,ALB,73.3,8.51,Q,2024-10-08
S0013,T2024-006,YFT,80.4,10.84,U,2024-06-09
S0014,T2024-006,ALB,110.5,25.92,U,2024-06-09
S0015,T2024-007,ALB,,2.19,M,2024-06-18
S0016,T2024-007,BET,105.1,35.09,F,2024-06-18
S0017,T2024-007,SKJ,44.3,1.6,M,2024-06-18
S0018,T2024-007,SKJ,105.9,32.29,F,2024-06-18
S0019,T2024-009,ALB,90.2,14.57,F,2024-03-26
S0020,T2024-009,SKJ,39.8,1.14,M,2024-03-26
S0021,T2024-009,YFT,151.3,77.06,M,2024-03-26
S0022,T2024-009,ALB,101.8,20.38,F,2024-03-26
S0023,T2024-009,SKJ,47.4,2.09,M,2024-03-26
S0024,T2024-011,ALB,113.3,31.92,U,2024-11-07
S0025,T2024-011,BET,106.1,37.69,M,2024-11-07
S0026,T2024-011,SKJ,53.9,3.21,U,2024-11-07
S0027,T2024-011,SKJ,46.9,2.09,M,2024-11-07
S0028,T2024-012,ALB,94.2,16.31,U,2024-11-10
S0029,T2024-012,BET,142.2,87.11,F,2024-11-10
S0030,T2024-012,ALB,92.6,16.67,M,2024-11-10
S0031,T2024-012,SKJ,40.9,1.25,U,2024-11-10
S0032,T2024-012,SKJ,51.7,3.18,F,2024-11-10
S0033,T2024-014,ALB,85.2,12.26,M,2024-11-04
S0034,T2024-014,BET,108.4,34.41,U,2024-11-04
S0035,T2024-014,BET,145.1,80.94,F,2024-11-04
S0036,T2024-014,ALB,35.7,0.91,M,2024-11-04
S0037,T2024-015,SKJ,87.8,17.15,U,2024-03-19
S0038,T2024-015,ALB,79.8,10.21,M,2024-03-19
S0039,T2024-015,YFT,95.7,19.68,U,2024-03-19
S0040,T2024-015,SKJ,103.7,27.83,M,2024-03-19
S0041,T2024-017,SKJ,58.4,4.31,U,2024-03-27
S0042,T2024-017,SKJ,39.7,1.21,F,2024-03-27
S0043,T2024-017,BET,143.1,77.17,F,2024-03-27
S0044,T2024-018,SKJ,53.9,3.08,F,2024-04-22
S0045,T2024-018,BET,153.5,94.45,U,2024-04-22
S0046,T2024-018,YFT,144.0,62.56,U,2024-04-22
S0047,T2024-018,ALB,46.0,1.85,U,2024-04-22
S0048,T2024-018,SKJ,107.2,32.99,F,2024-04-22
S0049,T2024-019,SKJ,86.5,14.79,F,2024-12-04
S0050,T2024-019,YFT,136.1,60.51,M,2024-12-04
S0051,T2024-020,SKJ,96.6,24.66,U,2024-03-08
S0052,T2024-020,YFT,71.5,8.72,U,2024-03-08
S0053,T2024-020,SKJ,97.2,24.52,M,2024-03-08
S0054,T2024-020,ALB,39.7,1.24,F,2024-03-08
S0055,T2024-020,SKJ,58.6,4.53,M,2024-03-08
S0056,T2024-022,SKJ,66.8,7.44,F,2024-02-26
S0057,T2024-022,SKJ,86.6,16.28,F,2024-02-26
S0058,T2024-022,SKJ,98.8,23.16,U,2024-02-26
S0059,T2024-022,ALB,40.8,1.33,U,2024-02-26
S0060,T2024-023,SKJ,70.0,7.28,F,2024-02-05
S0061,T2024-023,ALB,56.8,3.62,F,2024-02-05
S0062,T2024-023,YFT,139.8,60.06,U,2024-02-05
S0063,T2024-023,YFT,105.5,26.88,F,2024-02-05
S0064,T2024-024,SKJ,69.8,8.58,M,2024-05-19
S0065,T2024-024,ALB,77.4,9.42,U,2024-05-19
S0066,T2024-024,ALB,107.8,28.24,F,2024-05-19
S0067,T2024-024,ALB,70.4,6.79,M,2024-05-19
S0068,T2024-025,YFT,143.8,69.73,M,2024-06-26
S0069,T2024-025,ALB,54.6,2.93,M,2024-06-26
S0070,T2024-025,BET,118.4,50.07,M,2024-06-26
S0071,T2024-025,YFT,111.8,29.62,M,2024-06-26
S0072,T2024-026,BET,142.0,82.08,U,31/02/2024
S0073,T2024-026,SKJ,85.8,16.41,M,31/02/2024
S0074,T2024-026,SKJ,64.2,5.62,U,31/02/2024
S0075,T2024-026,ALB,102.6,24.29,M,31/02/2024
S0076,T2024-026,SKJ,95.1,22.82,F,31/02/2024
S0077,T2024-027,ALB,51.1,2.82,U,2024-03-18
S0078,T2024-027,ALB,39.0,1.06,U,2024-03-18
S0079,T2024-027,ALB,74.7,9.01,F,2024-03-18
S0080,T2024-028,YFT,110.0,33.1,F,2024-03-24
S0081,T2024-028,ALB,57.4,3.41,U,2024-03-24
S0082,T2024-028,YFT,141.4,70.11,F,2024-03-24
S0083,T2024-028,ALB,111.1,30.94,M,2024-03-24
S0084,T2024-028,ALB,111.2,27.18,M,2024-03-24
S0085,T2024-029,BET,41.5,2.11,M,2024-10-08
S0086,T2024-029,YFT,136.1,61.72,M,2024-10-08
S0087,T2024-030,YFT,63.7,6.18,F,2024-06-21
S0088,T2024-030,SKJ,68.2,6.89,U,2024-06-21
S0089,T2024-030,ALB,77.8,9.91,F,2024-06-21
S0090,T2024-030,YFT,94.2,19.73,M,2024-06-21
S0091,T2024-031,YFT,56.6,4.38,U,2024-04-15
S0092,T2024-031,SKJ,82.6,14.5,F,2024-04-15
S0093,T2024-031,BET,102.0,29.27,U,2024-04-15
S0094,T2024-031,ALB,108.6,26.98,M,2024-04-15
S0095,T2024-032,ALB,64.2,5.39,U,2024-12-06
S0096,T2024-032,ALB,113.8,27.91,F,2024-12-06
S0097,T2024-032,SKJ,41.2,1.23,M,2024-12-06
S0098,T2024-032,YFT,80.4,11.19,U,2024-12-06
S0099,T2024-032,ALB,77.2,9.69,U,2024-12-06
S0100,T2024-033,SKJ,65.4,5.74,U,2024-10-14
S0101,T2024-033,YFT,132.2,47.99,U,2024-10-14
S0102,T2024-033,BET,122.3,52.12,F,2024-10-14
S0103,T2024-033,YFT,94.4,20.57,F,2024-10-14
S0104,T2024-033,SKJ,62.4,5.78,F,2024-10-14
S0105,T2024-034,YFT,108.3,27.51,F,2024-03-07
S0106,T2024-034,BET,42.2,2.52,M,2024-03-07
S0107,T2024-034,BET,145.9,92.62,M,2024-03-07
S0108,T2024-035,YFT,111.3,30.92,M,2024-10-06
S0109,T2024-035,SKJ,71.8,8.49,U,2024-10-06
S0110,T2024-035,BET,152.3,103.92,U,2024-10-06
S0111,T2024-035,ALB,91.3,14.95,U,2024-10-06
S0112,T2024-036,BET,142.1,82.31,M,2024-04-24
S0113,T2024-036,SKJ,72.7,9.09,F,2024-04-24
S0114,T2024-036,ALB,118.9,35.54,U,2024-04-24
S0115,T2024-037,YFT,73.8,8.58,M,2024-05-06
S0116,T2024-037,SKJ,99.4,27.4,F,2024-05-06
S0117,T2024-038,SKJ,52.6,3.09,M,2024-01-03
S0118,T2024-038,ALB,72.6,7.88,M,2024-01-03
S0119,T2024-038,SKJ,62.6,5.65,M,2024-01-03
S0120,T2024-038,YFT,53.0,3.48,M,2024-01-03
S0121,T2024-039,SKJ,71.3,8.41,U,2024-01-01
S0122,T2024-039,ALB,69.5,6.88,M,2024-01-01
S0123,T2024-040,ALB,70.3,6.96,F,2024-12-18
S0124,T2024-040,BET,137.5,67.96,M,2024-12-18
S0125,T2024-040,ALB,73.7,8.31,U,2024-12-18
